run_id,design,status,labor,financing,eta,eta_s,theta,epsilon,sigma,shock,magnitude,data_vintage,evidence,commit,actor,notes
matrix_5x3-GAMMA-F2,matrix_5x3,planned,GAMMA,F2,1.0,0,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,,,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned"
matrix_5x3-GAMMA-F3,matrix_5x3,planned,GAMMA,F3,1.0,0,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,,,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned"
matrix_5x3-DELTA-F1,matrix_5x3,planned,DELTA,F1,1.0,0,1e-4,1e-4,1e-4,impulses.csv,1.0,full-71-abill,,,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | theta/epsilon/sigma = delta_epsilon = 1e-4 (the solved Leontief-limit values; ADR-0006)"
matrix_5x3-DELTA-F2,matrix_5x3,planned,DELTA,F2,1.0,0,1e-4,1e-4,1e-4,impulses.csv,1.0,full-71-abill,,,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | theta/epsilon/sigma = delta_epsilon = 1e-4 (the solved Leontief-limit values; ADR-0006)"
matrix_5x3-DELTA-F3,matrix_5x3,planned,DELTA,F3,1.0,0,1e-4,1e-4,1e-4,impulses.csv,1.0,full-71-abill,,,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | theta/epsilon/sigma = delta_epsilon = 1e-4 (the solved Leontief-limit values; ADR-0006)"
cbase2-v3-ALPHA-F1-mobile,cbase2-v3,failed,ALPHA,F1,0.5,0,1.0,0.5,0.9,impulses.csv,m=1,cbase2-v3,cbase2/scripts/verify_v3.jl; cbase2/process_comments.md; cbase2/review.md,bb41bac,hermes-agent,"F1 test used an all-ones no-op preference vector, so it is not a valid F1 test [review 2.9]; budget identity sum p*c - (1-s)E = 0.0 exact, resid 9e-10 and L = 1.0 at v3 implementation [process_comments 2026-09-16]; later reduced-formulation round reports mobile rows resid <= 3.7e-7 [process_comments 2026-09-16 evening]"
cbase2-v3-ALPHA-F2-mobile,cbase2-v3,provisional,ALPHA,F2,0.5,0,1.0,0.5,0.9,impulses.csv,m=1,cbase2-v3,cbase2/scripts/verify_v3.jl; cbase2/process_comments.md; cbase2/review.md,bb41bac,hermes-agent,"resid 5.6e-7 and budget identity sum p*c - (1-s)E = 0.0 exact at v3 implementation [process_comments 2026-09-16]; aggregate headlines contaminated until the Tornqvist base is fixed (base still in v2 form, real_gdp reads 0.199 at the v3 baseline, F2 -24.6% is an artifact) and by technology-change mixing (headline rows use theta=1.0 while the reference is the final continuation point theta=0.5) [process_comments 2026-09-16; review 2.9]; equilibrium real wage w* ~ 0.48 flagged for re-examination [process_comments 2026-09-16]"
cbase2-v3-ALPHA-F3-mobile,cbase2-v3,failed,ALPHA,F3,0.5,0,1.0,0.5,0.9,impulses.csv,m=1,cbase2-v3,cbase2/scripts/verify_v3.jl; cbase2/process_comments.md; cbase2/review.md,bb41bac,hermes-agent,"mobile solve stalls at max|resid| ~2e-4 (LM polish insufficient; F2 needed no polish) [process_comments 2026-09-16]; later reduced-formulation round reports F3 mobile resid <= 3.7e-7 and records external deficit F = 0.001472, but external_balance returns only the programme's import content and the figure is ambiguous (~half of dot(p, m.*g) at baseline) [process_comments 2026-09-16; review 2.8]"
cbase2-v3-DELTA-analytic-F2,cbase2-v3,provisional,DELTA,F2,1.0,0,1e-4,1e-4,1e-4,impulses.csv,m=1,cbase2-v3,cbase2/scripts/verify_v3.jl; cbase2/process_comments.md; cbase2/review.md,bb41bac,hermes-agent,"analytic Leontief equivalence F2: L num/ana = 1.165584/1.165584 with rel y error 0.0 [process_comments 2026-09-16]; values are pre-drop 71-sector (70-sector ~1.1365); exactness rests on p=1 being an exact equilibrium under demand-only shocks rather than the epsilon->0 limit and the near-unit round-gain column sums (~0.976) make it fragile; the in-script assertion is rel < 5e-3 while the doc quotes 0.0 [review 3.5, 2.9]"
cbase2-v3-DELTA-analytic-F3,cbase2-v3,provisional,DELTA,F3,1.0,0,1e-4,1e-4,1e-4,impulses.csv,m=1,cbase2-v3,cbase2/scripts/verify_v3.jl; cbase2/process_comments.md; cbase2/review.md,bb41bac,hermes-agent,"analytic Leontief equivalence F3: L num/ana = 1.176709/1.176709 with rel y error 0.0 [process_comments 2026-09-16]; values are pre-drop 71-sector (70-sector ~1.1469); exactness rests on p=1 being an exact equilibrium under demand-only shocks rather than the epsilon->0 limit and the near-unit round-gain column sums (~0.976) make it fragile; the in-script assertion is rel < 5e-3 while the doc quotes 0.0 [review 3.5, 2.9]"
cbase2-v3-BETA-mobile,cbase2-v3,failed,BETA,F3,0.5,TBD,TBD,TBD,TBD,impulses.csv,m=1,cbase2-v3,cbase2/scripts/verify_v3.jl; cbase2/process_comments.md; cbase2/review.md,bb41bac,hermes-agent,"eta_s-continuation (solve_beta) ran >25 min without completing; each rung can trigger the 2000-iter LM polish on the 142-dim FD system [process_comments 2026-09-16]; theta/epsilon/sigma TBD because the timed-out run predates the theta=1 bound and its configuration is not documented [process_comments 2026-09-17]; verify_v3.jl targets eta_s in {0.5, 1.0} under F3 and its identification test recovers eta_s by construction (circular, w0=1 hardcoded) [review 3.4]"
